trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.55, 'e': 0.19204990862075408}",25,1,-65.5917511864732,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 1}",1
166,False,"{'a': 0.55, 'e': 0.1901389801015205}",20,0,-326.6611577011022,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 7}",0
167,False,"{'a': 0.55, 'e': 0.1882470656387468}",30,10,-33.89091011271548,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.55, 'e': 0.18637397603940997}",25,0,-135.3338016313699,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
169,False,"{'a': 0.55, 'e': 0.18451952399298926}",20,13,-28.62575626333271,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.55, 'e': 0.18268352405273466}",25,11,-41.50389371755819,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.55, 'e': 0.1808657926171221}",20,9,-64.80938008637233,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
172,False,"{'a': 0.55, 'e': 0.17906614791149322}",20,16,5.044869456247683,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.55, 'e': 0.17728440996987782}",25,11,-52.305980714900045,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.55, 'e': 0.17552040061699686}",25,11,1.7118367924460434,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.55, 'e': 0.17377394345044514}",25,3,-110.45046521205124,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 2}",1
176,False,"{'a': 0.55, 'e': 0.17204486382305054}",20,1,-81.20626428721786,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
177,False,"{'a': 0.55, 'e': 0.17033298882540943}",20,0,-106.78340079492997,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
178,False,"{'a': 0.55, 'e': 0.1686381472685955}",25,11,-25.866609485492372,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
179,False,"{'a': 0.55, 'e': 0.1669601696670407}",25,11,-61.058661730539654,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
180,False,"{'a': 0.55, 'e': 0.16529888822158653}",30,0,-111.20205844854378,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
181,False,"{'a': 0.55, 'e': 0.16365413680270405}",20,0,-189.30589917620102,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
182,False,"{'a': 0.55, 'e': 0.16202575093388075}",25,3,-132.86008252732105,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 2}",1
183,False,"{'a': 0.55, 'e': 0.16041356777517274}",25,16,15.159772941742492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.55, 'e': 0.15881742610692068}",20,0,-202.72601152536518,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
185,False,"{'a': 0.55, 'e': 0.1572371663136276}",20,3,-31.687810228080437,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
186,False,"{'a': 0.55, 'e': 0.1556726303679973}",20,16,6.34796032571094,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.55, 'e': 0.1541236618151314}",25,0,-66.00106735526913,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
188,False,"{'a': 0.55, 'e': 0.15259010575688386}",35,21,-94.80881362111282,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
189,False,"{'a': 0.55, 'e': 0.15107180883637084}",20,15,-11.609259718422635,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
190,False,"{'a': 0.55, 'e': 0.14956861922263504}",35,4,-152.35025875426152,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 2}",1
191,False,"{'a': 0.55, 'e': 0.14808038659546244}",20,0,-133.9805836331778,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
